Ecozone,FluxID,Source,Sink,ProcessSynonym,Pseudocode,Notes,SeverityClass,Value
BP,1,Softwood Merchantable,Softwood Merchantable,Survival rate of large conifers,"f(severity class,ecozone)",Ellen provides,Low,
BP,2,Softwood Merchantable,Softwood Stem Snag,Mortality rate of large conifers,mortality rate of conifers,Note: not accounting for trees killed that immediately fall to ground,Low,
BP,3,Softwood Merchantable,Black Carbon,Live conifer to BC rate,0,live stemwood to BC should be precisely 0,Low,
BP,4,Softwood Foliage,Softwood Foliage,Green fraction of canopy remaining intact after fire,(1-Mortality)*(1-CFB),Ellen provides,Low,
BP,5,Softwood Foliage,Above Ground Very Fast soil C,Post-fire litterfall (heat-killed but not burned),Mortality-CFB,Ellen provides,Low,
BP,6,Softwood Foliage,CO2,Crown Fraction Burned,CFB*FlamingCO2,Ellen provides,Low,
BP,7,Softwood Foliage,CH4,Crown Fraction Burned,CFB*FlamingCH4,Ellen provides,Low,
BP,8,Softwood Foliage,CO,Crown Fraction Burned,CFB*FlamingCO,Ellen provides,Low,
BP,9,Softwood Other,Softwood Other,"unconsumed Live branches, stumps and small trees including bark","(1-(mortality rate of conifers)*branch fraction of ""other"" pool)+(1-(medium DOM consumption rate)*stump fraction of other pool)+(1-(global mortality of submerch conifers in severity class)*small tree fraction of other pool)+(1-CFB*bark fraction of other pool)","Note: unconsumed but dead bark remains in ""other"" pool here?",Low,
BP,10,Softwood Other,Softwood Branch Snag,"Portion of ""other"" pool as killed by fire but unconsumed branches",[CFB*(branch fract of other)+(fraction of branches consumed)]+[(mort-CFB)*(brach fract of other)],"Note: taking into account that large diameter branches don't get consumed in a crown fire, so they convert to snags. Also: given the mortality-CFB can sometimes be positive or negative, enforcing a min value of zero here.",Low,
BP,11,Softwood Other,CO2,"Proportional Combustion sum of branches, stumps, small trees and bark",(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO2,Assuming small trees (<1.3 height?) burn alongside litter,Low,
BP,12,Softwood Other,CH4,"Proportional Combustion sum of branches, stumps, small trees and bark",(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCH4,,Low,
BP,13,Softwood Other,CO,"Proportional Combustion sum of branches, stumps, small trees and bark",(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO,,Low,
BP,14,Softwood Submerchantable,Softwood Submerchantable,Understory conifer survival rate,1-(global mortality of submerch conifers in severity class),,Low,
BP,15,Softwood Submerchantable,Softwood Branch Snag,Understory conifer branches killed but not consumed,0,all gets combusted; submerch trees don't have sufficiently large branches to survive IF killed,Low,
BP,16,Softwood Submerchantable,CO2,Understory Conifer consumption rate,(softwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCO2,all but snag should be 100% consumption,Low,
BP,17,Softwood Submerchantable,CH4,Understory Conifer consumption rate,(softwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCH4,,Low,
BP,18,Softwood Submerchantable,CO,Understory Conifer consumption rate,(softwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCO,,Low,
BP,19,Softwood Coarse Roots,Softwood Coarse Roots,Surviving coarse roots in conifers,1-(conifer mortality rate),,Low,
BP,20,Softwood Coarse Roots,Above Ground Fast soil C,Coarse Roots killed in fire but not combusted in organic soil,(conifer mortality rate)*(conifer coarse root fraction in organic soil),"Note: assuming even if duff burns, coarse live roots don't burn alongside",Low,
BP,21,Softwood Coarse Roots,Below Ground Fast soil C,Coarse Roots killed in fire but not combusted in mineral soil,(conifer mortality rate)*(conifer coarse root fraction in mineral soil),,Low,
BP,22,Softwood Fine Roots,Softwood Fine Roots,Surviving fine roots,1-(conifer mortality rate),,Low,
BP,23,Softwood Fine Roots,Above Ground Very Fast soil C,Fine roots killed but not burned in organic soil,(conifer mortality rate)*(fine root fraction in organic soil)*(1-fraction of duff consumed),,Low,
BP,24,Softwood Fine Roots,Below Ground Very Fast soil C,Fine roots killed but not burned in mineral soil,(conifer mortality rate)*(fine root fraction in mineral soil),,Low,
BP,25,Softwood Fine Roots,CO2,Fine roots combusted alongside duff,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO2,,Low,
BP,26,Softwood Fine Roots,CH4,Fine roots combusted alongside duff,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCH4,,Low,
BP,27,Softwood Fine Roots,CO,Fine roots combusted alongside duff,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO,,Low,
BP,28,Hardwood Merchantable,Hardwood Merchantable,Survival rate of broadleaf trees,"f(severity class,ecozone)",Ellen provides,Low,
BP,29,Hardwood Merchantable,Hardwood Stem Snag,Mortality rate of broadleaves,mortality rate of broadleafs,Note: not accounting for trees killed that immediately fall to ground,Low,
BP,30,Hardwood Merchantable,Black Carbon,Live broadleaf stemwood to black carbon (incomplete combustion) rate,0,live stemwood to BC should be precisely 0,Low,
BP,31,Hardwood Foliage,Hardwood Foliage,Green fraction of canopy,(1-Mortality)*(1-CFB),Ellen provides,Low,
BP,32,Hardwood Foliage,Above Ground Very Fast soil C,Post-fire litterfall,Mortality-CFB,Ellen provides,Low,
BP,33,Hardwood Foliage,CO2,Crown Fraction Burned,CFB*FlamingCO2,Ellen provides,Low,
BP,34,Hardwood Foliage,CH4,Crown Fraction Burned,CFB*FlamingCH4,Ellen provides,Low,
BP,35,Hardwood Foliage,CO,Crown Fraction Burned,CFB*FlamingCO,Ellen provides,Low,
BP,36,Hardwood Other,Hardwood Other,"Surviving Live branches, stumps and small trees including bark","((1-mortality rate of deciduous)*branch fraction of ""other"" pool)+(1-CFB*stump fraction of other pool)+(1-small tree combustion rate f(severity)*small tree fraction of other pool)+(1-CFB*bark fraction of other pool)",,Low,
BP,37,Hardwood Other,Hardwood Branch Snag,"Portion of ""other"" pool as dead but unburned large branches","(mortality rate of deciduous*branch fraction of ""other"" pool)",,Low,
BP,38,Hardwood Other,CO2,"Proportional Combustion sum of branches, stumps, small trees and bark",(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCO2,,Low,
BP,39,Hardwood Other,CH4,"Proportional Combustion sum of branches, stumps, small trees and bark",(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCH4,,Low,
BP,40,Hardwood Other,CO,"Proportional Combustion sum of branches, stumps, small trees and bark",(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCO,,Low,
BP,41,Hardwood Submerchantable,Hardwood Submerchantable,Understory broadleaf survival rate,1-(global mortality of submerch conifers in severity class),,Low,
BP,42,Hardwood Submerchantable,Hardwood Branch Snag,Understory broadleaf mortality rate,0,,Low,
BP,43,Hardwood Submerchantable,CO2,Understory Broadleaf consumption rate,(hardwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCO2,all but snag should be 100% consumption,Low,
BP,44,Hardwood Submerchantable,CH4,Understory Broadleaf consumption rate,(hardwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCH4,,Low,
BP,45,Hardwood Submerchantable,CO,Understory Broadleaf consumption rate,(hardwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCO,,Low,
BP,46,Hardwood Coarse roots,Hardwood Coarse roots,Surviving deciduous coarse roots,1-deciduous mortality rate,,Low,
BP,47,Hardwood Coarse roots,Above Ground Fast soil C,Deciduous coarse roots in the duff that are killed but unconsumed,(deciduous mortality rate)*(deciduous coarse root fraction in organic soil),,Low,
BP,48,Hardwood Coarse roots,Below Ground Fast soil C,Deciduous coarse roots in the mineral soil that are killed but unconsumed,(deciduous mortality rate)*(deciduous coarse root fraction in mineral soil),,Low,
BP,49,Hardwood Fine Roots,Hardwood Fine Roots,Surviving fine roots,1-conifer mortality rate,,Low,
BP,50,Hardwood Fine Roots,Above Ground Very Fast soil C,Fine roots killed but not burned in organic soil,(conifer mortality rate)*(coarse root fraction in organic soil),,Low,
BP,51,Hardwood Fine Roots,Below Ground Very Fast soil C,Fine roots killed but not burned in mineral soil,(conifer mortality rate)*(coarse root fraction in mineral soil),,Low,
BP,52,Hardwood Fine Roots,CO2,Fine roots combusted alongside duff,(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCO2,,Low,
BP,53,Hardwood Fine Roots,CH4,Fine roots combusted alongside duff,(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCH4,,Low,
BP,54,Hardwood Fine Roots,CO,Fine roots combusted alongside duff,(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCO,,Low,
BP,55,Aboveground Very Fast DOM,Above Ground Very Fast soil C,"Unburned fraction of The L horizonb comprised of foliar litter plus dead fine roots, approximately <5 mm diameter",0,all litter burns,Low,
BP,56,Aboveground Very Fast DOM,CO2,Combusted fraction of litter layer,(Aboveground Very Fast DOM)*FlamingCO2,,Low,
BP,57,Aboveground Very Fast DOM,CH4,Combusted fraction of litter layer,(Aboveground Very Fast DOM)*FlamingCH4,,Low,
BP,58,Aboveground Very Fast DOM,CO,Combusted fraction of litter layer,(Aboveground Very Fast DOM)*FlamingCO,,Low,
BP,59,Belowground Very Fast DOM,Below Ground Very Fast soil C,"Uncombusted Fraction of Dead fine roots in the mineral soil, approximately <5 mm diameter",~1,,Low,
BP,60,Aboveground Fast DOM,Above Ground Fast soil C,"Uncombusted Fine and small woody debris plus dead coarse roots in the forest floor, approximately <75 mm diameter",1-[(litter surface area fraction burned*woody debris portion of AGFastDOM)+(Dead coarse root fraction of AGFastDOM*(fraction of duff consumed)],"***Needs renaming, logic good ***Assume all woody fine+small woody debris is combusted, but only fractional combustion of dead coarse roots alongside duff",Low,
BP,61,Aboveground Fast DOM,CO2,Combusted FWD+MWD fraction (dead course roots accounted for in AG Slow DOM),[(litter surface area fraction burned*woody debris portion of AGFastDOM)+(Dead coarse root fraction of AGFastDOM*(fraction of duff consumed)]*(Woody debris fraction of pool)*FlamingCO2+Root Fraction of pool*SmoulderingCO2),,Low,
BP,62,Aboveground Fast DOM,CH4,Combusted FWD+MWD fraction (dead course roots accounted for in AG Slow DOM),[(litter surface area fraction burned*woody debris portion of AGFastDOM)+(Dead coarse root fraction of AGFastDOM*(fraction of duff consumed)]*(Woody debris fraction of pool)*FlamingCH4+Root Fraction of pool*SmoulderingCH4),,Low,
BP,63,Aboveground Fast DOM,CO,Combusted FWD+MWD fraction (dead course roots accounted for in AG Slow DOM),[(litter surface area fraction burned*woody debris portion of AGFastDOM)+(Dead coarse root fraction of AGFastDOM*(fraction of duff consumed)]*(Woody debris fraction of pool)*FlamingCO+Root Fraction of pool*SmoulderingCO),,Low,
BP,64,Belowground Fast DOM,Below Ground Fast soil C,"Uncombusted fraction of Dead coarse roots in the mineral soil, approximately ò5 diameter",~1,Is it the case that all the Fast DOM goes to fast soil C???,Low,
BP,65,Medium DOM,Medium Soil C,Uncombusted Coarse woody debris on the ground,1-combustion rate of CWD,,Low,
BP,66,Medium DOM,CO2,Combusted fraction of CWD,f(severty)*SmoulderingCO2,,Low,
BP,67,Medium DOM,CH4,Combusted fraction of CWD,f(severty)*SmoulderingCH4,,Low,
BP,68,Medium DOM,CO,Combusted fraction of CWD,f(severty)*SmoulderingCO,,Low,
BP,69,Medium DOM,Black Carbon,Medium DOM converted to Black Carbon,,See Koroscil Msc thesis. Assume that some % of fire production actually lasts in the soil?,Low,
BP,70,Aboveground Slow DOM,Above Ground slow soil C,Uncombusted fraction of duff and peat horizons,1-(fraction of duff consumed),,Low,
BP,71,Aboveground Slow DOM,CO2,Combusted Fraction of duff and peat horizons,(fraction of duff consumed)*SmoulderingCO2,,Low,
BP,72,Aboveground Slow DOM,CH4,Combusted Fraction of duff and peat horizons,(fraction of duff consumed)*SmoulderingCH4,,Low,
BP,73,Aboveground Slow DOM,CO,Combusted Fraction of duff and peat horizons,(fraction of duff consumed)*SmoulderingCO,,Low,
BP,74,Belowground Slow DOM,Below Ground Slow soil C,Uncombusted fraction of Humified organic matter in the mineral soil,1,,Low,
BP,75,Softwood Stem Snag,Medium Soil C,Fraction of conifer snags that fall to ground but not combusted,[1-(Softwood snag combustion fraction f(severity)]*(snag fall rate),,Low,
BP,76,Softwood Stem Snag,Softwood Stem Snag,Uncombusted fraction of conifer snags (still upright),[1-(Softwood snag combustion fraction f(severity)]*(1-snag fall rate),,Low,
BP,77,Softwood Stem Snag,CO2,Combusted fraction of conifer snags,(softwood snag combustion fraction f(severity))*FlamingCO2,From Patrick's data - to get radial consumption depth and a mean merch DBH per ecozone,Low,
BP,78,Softwood Stem Snag,CH4,Combusted fraction of conifer snags,(softwood snag combustion fraction f(severity))*FlamingCH4,,Low,
BP,79,Softwood Stem Snag,CO,Combusted fraction of conifer snags,(softwood snag combustion fraction f(severity))*FlamingCO,,Low,
BP,80,Softwood Stem Snag,Black Carbon,Portion of conifer snags that are converted to Black Carbon upon burning,,,Low,
BP,81,Softwood Branch Snag,Above Ground Fast soil C,Portion of conifer snag branches that falls onto the ground?,[1-(Softwood branch snag combustion fraction f(severity)]*0.5,"Assuming half of all unburned branches on snags fall to the ground, half of them remain on the snag",Low,
BP,82,Softwood Branch Snag,Softwood Branch Snag,Unaltered fraction,[1-(Softwood branch snag combustion fraction f(severity)]*0.5,"Assuming half of all unburned branches on snags fall to the ground, half of them remain on the snag",Low,
BP,83,Softwood Branch Snag,CO2,Portion of conifer branch snags that are combusted,(softwood branch snag combustion fraction f(severity))*FlamingCO2,,Low,
BP,84,Softwood Branch Snag,CH4,Portion of conifer branch snags that are combusted,(softwood branch snag combustion fraction f(severity))*FlamingCH4,,Low,
BP,85,Softwood Branch Snag,CO,Portion of conifer branch snags that are combusted,(softwood branch snag combustion fraction f(severity))*FlamingCO,,Low,
BP,86,Hardwood Stem Snag,Medium Soil C,Portion of deciduous snags that falls onto the ground?,[1-(Hardwood snag combustion fraction f(severity)]*0.8,"Not sure if we have any data on the stem snag fall rate over the longer term, but most stems that don't burn do fall down over the years.",Low,
BP,87,Hardwood Stem Snag,Hardwood Stem Snag,Unaltered stem snag fraction,[1-(Hardwood snag combustion fraction f(severity)]*0.2,"Not sure if we have any data on the stem snag fall rate over the longer term, but most stems that don't burn do fall down over the years. Assuming 80% fall over time?",Low,
BP,88,Hardwood Stem Snag,CO2,Combusted fraction of deciduous snags,(hardwood snag combustion fraction f(severity))*FlamingCO2,,Low,
BP,89,Hardwood Stem Snag,CH4,Combusted fraction of deciduous snags,(hardwood snag combustion fraction f(severity))*FlamingCH4,,Low,
BP,90,Hardwood Stem Snag,CO,Combusted fraction of deciduous snags,(hardwood snag combustion fraction f(severity))*FlamingCO,,Low,
BP,91,Hardwood Stem Snag,Black Carbon,Portion of deciduous snags that are converted to Black Carbon upon burning,,,Low,
BP,92,Hardwood Branch Snag,Above Ground Fast soil C,Portion of deciduous snag branches that falls onto the ground?,[1-(Hardwood branch snag combustion fraction f(severity)]*0.5,Assuming half of the unburned snag branches survive and fall to the ground,Low,
BP,93,Hardwood Branch Snag,Hardwood Branch Snag,Portion of deciduous snag branches that survive a fire,[1-(Hardwood branch snag combustion fraction f(severity)]*0.5,Assuming half of the unburned snag branches survive and fall to the ground,Low,
BP,94,Hardwood Branch Snag,CO2,Combusted fraction of deciduous snag branches,(hardwood branch snag combustion fraction f(severity))*FlamingCO2,,Low,
BP,95,Hardwood Branch Snag,CH4,Combusted fraction of deciduous snag branches,(hardwood branch snag combustion fraction f(severity))*FlamingCH4,,Low,
BP,96,Hardwood Branch Snag,CO,Combusted fraction of deciduous snag branches,(hardwood branch snag combustion fraction f(severity))*FlamingCO,,Low,
BP,97,Black Carbon,Black Carbon,Unburned black carbon fraction,,see https://doi.org/10.1071/WF12190 and onwards for PyrC production and loss estimates,Low,
BP,98,Black Carbon,CO2,Black carbon combustion fraction,(fraction of total black carbon pool in duff)*(duff DOB/total duff pool)*SmoulderingCO2,,Low,
BP,99,Black Carbon,CH4,Black carbon combustion fraction,(fraction of total black carbon pool in duff)*(duff DOB/total duff pool)*SmoulderingCH4,,Low,
BP,100,Black Carbon,CO,Black carbon combustion fraction,(fraction of total black carbon pool in duff)*(duff DOB/total duff pool)*SmoulderingCO,,Low,
BP,1,Softwood Merchantable,Softwood Merchantable,Survival rate of large conifers,"f(severity class,ecozone)",Ellen provides,Mod,
BP,2,Softwood Merchantable,Softwood Stem Snag,Mortality rate of large conifers,mortality rate of conifers,Note: not accounting for trees killed that immediately fall to ground,Mod,
BP,3,Softwood Merchantable,Black Carbon,Live conifer to BC rate,0,live stemwood to BC should be precisely 0,Mod,
BP,4,Softwood Foliage,Softwood Foliage,Green fraction of canopy remaining intact after fire,(1-Mortality)*(1-CFB),Ellen provides,Mod,
BP,5,Softwood Foliage,Above Ground Very Fast soil C,Post-fire litterfall (heat-killed but not burned),Mortality-CFB,Ellen provides,Mod,
BP,6,Softwood Foliage,CO2,Crown Fraction Burned,CFB*FlamingCO2,Ellen provides,Mod,
BP,7,Softwood Foliage,CH4,Crown Fraction Burned,CFB*FlamingCH4,Ellen provides,Mod,
BP,8,Softwood Foliage,CO,Crown Fraction Burned,CFB*FlamingCO,Ellen provides,Mod,
BP,9,Softwood Other,Softwood Other,"unconsumed Live branches, stumps and small trees including bark","(1-(mortality rate of conifers)*branch fraction of ""other"" pool)+(1-(medium DOM consumption rate)*stump fraction of other pool)+(1-(global mortality of submerch conifers in severity class)*small tree fraction of other pool)+(1-CFB*bark fraction of other pool)","Note: unconsumed but dead bark remains in ""other"" pool here?",Mod,
BP,10,Softwood Other,Softwood Branch Snag,"Portion of ""other"" pool as killed by fire but unconsumed branches",[CFB*(branch fract of other)+(fraction of branches consumed)]+[(mort-CFB)*(brach fract of other)],"Note: taking into account that large diameter branches don't get consumed in a crown fire, so they convert to snags. Also: given the mortality-CFB can sometimes be positive or negative, enforcing a min value of zero here.",Mod,
BP,11,Softwood Other,CO2,"Proportional Combustion sum of branches, stumps, small trees and bark",(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO2,Assuming small trees (<1.3 height?) burn alongside litter,Mod,
BP,12,Softwood Other,CH4,"Proportional Combustion sum of branches, stumps, small trees and bark",(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCH4,,Mod,
BP,13,Softwood Other,CO,"Proportional Combustion sum of branches, stumps, small trees and bark",(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO,,Mod,
BP,14,Softwood Submerchantable,Softwood Submerchantable,Understory conifer survival rate,1-(global mortality of submerch conifers in severity class),,Mod,
BP,15,Softwood Submerchantable,Softwood Branch Snag,Understory conifer branches killed but not consumed,0,all gets combusted; submerch trees don't have sufficiently large branches to survive IF killed,Mod,
BP,16,Softwood Submerchantable,CO2,Understory Conifer consumption rate,(softwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCO2,all but snag should be 100% consumption,Mod,
BP,17,Softwood Submerchantable,CH4,Understory Conifer consumption rate,(softwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCH4,,Mod,
BP,18,Softwood Submerchantable,CO,Understory Conifer consumption rate,(softwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCO,,Mod,
BP,19,Softwood Coarse Roots,Softwood Coarse Roots,Surviving coarse roots in conifers,1-(conifer mortality rate),,Mod,
BP,20,Softwood Coarse Roots,Above Ground Fast soil C,Coarse Roots killed in fire but not combusted in organic soil,(conifer mortality rate)*(conifer coarse root fraction in organic soil),"Note: assuming even if duff burns, coarse live roots don't burn alongside",Mod,
BP,21,Softwood Coarse Roots,Below Ground Fast soil C,Coarse Roots killed in fire but not combusted in mineral soil,(conifer mortality rate)*(conifer coarse root fraction in mineral soil),,Mod,
BP,22,Softwood Fine Roots,Softwood Fine Roots,Surviving fine roots,1-(conifer mortality rate),,Mod,
BP,23,Softwood Fine Roots,Above Ground Very Fast soil C,Fine roots killed but not burned in organic soil,(conifer mortality rate)*(fine root fraction in organic soil)*(1-fraction of duff consumed),,Mod,
BP,24,Softwood Fine Roots,Below Ground Very Fast soil C,Fine roots killed but not burned in mineral soil,(conifer mortality rate)*(fine root fraction in mineral soil),,Mod,
BP,25,Softwood Fine Roots,CO2,Fine roots combusted alongside duff,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO2,,Mod,
BP,26,Softwood Fine Roots,CH4,Fine roots combusted alongside duff,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCH4,,Mod,
BP,27,Softwood Fine Roots,CO,Fine roots combusted alongside duff,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO,,Mod,
BP,28,Hardwood Merchantable,Hardwood Merchantable,Survival rate of broadleaf trees,"f(severity class,ecozone)",Ellen provides,Mod,
BP,29,Hardwood Merchantable,Hardwood Stem Snag,Mortality rate of broadleaves,mortality rate of broadleafs,Note: not accounting for trees killed that immediately fall to ground,Mod,
BP,30,Hardwood Merchantable,Black Carbon,Live broadleaf stemwood to black carbon (incomplete combustion) rate,0,live stemwood to BC should be precisely 0,Mod,
BP,31,Hardwood Foliage,Hardwood Foliage,Green fraction of canopy,(1-Mortality)*(1-CFB),Ellen provides,Mod,
BP,32,Hardwood Foliage,Above Ground Very Fast soil C,Post-fire litterfall,Mortality-CFB,Ellen provides,Mod,
BP,33,Hardwood Foliage,CO2,Crown Fraction Burned,CFB*FlamingCO2,Ellen provides,Mod,
BP,34,Hardwood Foliage,CH4,Crown Fraction Burned,CFB*FlamingCH4,Ellen provides,Mod,
BP,35,Hardwood Foliage,CO,Crown Fraction Burned,CFB*FlamingCO,Ellen provides,Mod,
BP,36,Hardwood Other,Hardwood Other,"Surviving Live branches, stumps and small trees including bark","((1-mortality rate of deciduous)*branch fraction of ""other"" pool)+(1-CFB*stump fraction of other pool)+(1-small tree combustion rate f(severity)*small tree fraction of other pool)+(1-CFB*bark fraction of other pool)",,Mod,
BP,37,Hardwood Other,Hardwood Branch Snag,"Portion of ""other"" pool as dead but unburned large branches","(mortality rate of deciduous*branch fraction of ""other"" pool)",,Mod,
BP,38,Hardwood Other,CO2,"Proportional Combustion sum of branches, stumps, small trees and bark",(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCO2,,Mod,
BP,39,Hardwood Other,CH4,"Proportional Combustion sum of branches, stumps, small trees and bark",(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCH4,,Mod,
BP,40,Hardwood Other,CO,"Proportional Combustion sum of branches, stumps, small trees and bark",(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCO,,Mod,
BP,41,Hardwood Submerchantable,Hardwood Submerchantable,Understory broadleaf survival rate,1-(global mortality of submerch conifers in severity class),,Mod,
BP,42,Hardwood Submerchantable,Hardwood Branch Snag,Understory broadleaf mortality rate,0,,Mod,
BP,43,Hardwood Submerchantable,CO2,Understory Broadleaf consumption rate,(hardwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCO2,all but snag should be 100% consumption,Mod,
BP,44,Hardwood Submerchantable,CH4,Understory Broadleaf consumption rate,(hardwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCH4,,Mod,
BP,45,Hardwood Submerchantable,CO,Understory Broadleaf consumption rate,(hardwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCO,,Mod,
BP,46,Hardwood Coarse roots,Hardwood Coarse roots,Surviving deciduous coarse roots,1-deciduous mortality rate,,Mod,
BP,47,Hardwood Coarse roots,Above Ground Fast soil C,Deciduous coarse roots in the duff that are killed but unconsumed,(deciduous mortality rate)*(deciduous coarse root fraction in organic soil),,Mod,
BP,48,Hardwood Coarse roots,Below Ground Fast soil C,Deciduous coarse roots in the mineral soil that are killed but unconsumed,(deciduous mortality rate)*(deciduous coarse root fraction in mineral soil),,Mod,
BP,49,Hardwood Fine Roots,Hardwood Fine Roots,Surviving fine roots,1-conifer mortality rate,,Mod,
BP,50,Hardwood Fine Roots,Above Ground Very Fast soil C,Fine roots killed but not burned in organic soil,(conifer mortality rate)*(coarse root fraction in organic soil),,Mod,
